State,County,MCO Name,Service Category,Number of Active Patients,Number of Eligible MCO Patients,Number of Providers,Percent Of Eligible Patients Receving Services,Number of Services per Active Patient,Number of Active Patients per Provider,Calendar Year,Plan Category
Arizona,All,Az Complete Health,Behavioral Health,21629,1997891,2161,0.138305219,39.96472329,11:01,2020,Comprehensive MCO
Arizona,All,Az Complete Health,Behavioral Health,30939,1946277,2412,0.116669055,32.93273861,13:01,2021,Comprehensive MCO
Arizona,All,Az Complete Health,Behavioral Health,41486,1297435,2715,0.125716675,36.42655354,16:01,2022,Comprehensive MCO
Arizona,All,Az Complete Health,Behavioral Health,53552,2164329,2979,0.129842861,37.73636839,18:01,2023,Comprehensive MCO
Arizona,All,Az Complete Health,Behavioral Health,75294,1591373,3290,0.077212341,36.63998459,23:01,2024,Comprehensive MCO
Arizona,All,Az Complete Health,Behavioral Health,43498,1067078,2190,0.048040732,10.25139087,20:01,2025,Comprehensive MCO
Arizona,All,Banner University Family Care,Behavioral Health,15199,964270,1836,0.100866714,35.61944865,9:01,2020,Comprehensive MCO
Arizona,All,Banner University Family Care,Behavioral Health,19349,899720,1974,0.106397954,36.83534033,10:01,2021,Comprehensive MCO
Arizona,All,Banner University Family Care,Behavioral Health,24976,859023,2243,0.109808749,38.46524664,12:01,2022,Comprehensive MCO
Arizona,All,Banner University Family Care,Behavioral Health,33499,473310,2468,0.114513576,40.16343771,14:01,2023,Comprehensive MCO
Arizona,All,Banner University Family Care,Behavioral Health,40935,568442,2683,0.130243465,43.2293392,16:01,2024,Comprehensive MCO
Arizona,All,Banner University Family Care,Behavioral Health,22218,689559,1674,0.081215342,12.12822936,14:01,2025,Comprehensive MCO
Arizona,All,Bridgeway Health Solution,Behavioral Health,*,456404,0,0,,*,2020,Comprehensive MCO
Arizona,All,Bridgeway Health Solution,Behavioral Health,*,230264,0,0,,*,2021,Comprehensive MCO
Arizona,All,Bridgeway Health Solution,Behavioral Health,*,487169,0,0,,*,2022,Comprehensive MCO
Arizona,All,Bridgeway Health Solution,Behavioral Health,*,531043,0,0,,*,2023,Comprehensive MCO
Arizona,All,Bridgeway Health Solution,Behavioral Health,*,294532,0,0,,*,2024,Comprehensive MCO
Arizona,All,Bridgeway Health Solution,Behavioral Health,*,375737,0,0,,*,2025,Comprehensive MCO
Arizona,All,Care1st,Behavioral Health,10208,2407893,1653,0.09574997,37.37695925,7:01,2020,Comprehensive MCO
Arizona,All,Care1st,Behavioral Health,11936,2427397,1675,0.098758895,31.99555965,8:01,2021,Comprehensive MCO
Arizona,All,Care1st,Behavioral Health,10530,2729683,1168,0.099083501,26.52127255,10:01,2022,Comprehensive MCO
Arizona,All,Care1st,Behavioral Health,16236,1565498,1260,0.114105799,36.62219759,13:01,2023,Comprehensive MCO
Arizona,All,Care1st,Behavioral Health,17202,1884215,1128,0.066189032,36.1245204,16:01,2024,Comprehensive MCO
Arizona,All,Care1st,Behavioral Health,*,1291058,0,0,,*,2025,Comprehensive MCO
Arizona,All,Cenpatico,Behavioral Health,*,711386,0,0,,*,2020,Comprehensive MCO
Arizona,All,Cenpatico,Behavioral Health,*,1080971,0,0,,*,2021,Comprehensive MCO
Arizona,All,Cenpatico,Behavioral Health,*,473855,0,0,,*,2022,Comprehensive MCO
Arizona,All,Cenpatico,Behavioral Health,*,911540,0,0,,*,2023,Comprehensive MCO
Arizona,All,Cenpatico,Behavioral Health,*,993325,0,0,,*,2024,Comprehensive MCO
Arizona,All,Cenpatico,Behavioral Health,*,588267,0,0,,*,2025,Comprehensive MCO
Arizona,All,Children's Rehabilitative Services (Crs),Behavioral Health,0,484215,0,0,,0,2020,Comprehensive MCO
Arizona,All,Children's Rehabilitative Services (Crs),Behavioral Health,0,460141,0,0,,0,2021,Comprehensive MCO
Arizona,All,Children's Rehabilitative Services (Crs),Behavioral Health,*,211720,0,0,,*,2022,Comprehensive MCO
Arizona,All,Children's Rehabilitative Services (Crs),Behavioral Health,*,284974,0,0,,*,2023,Comprehensive MCO
Arizona,All,Children's Rehabilitative Services (Crs),Behavioral Health,*,349479,0,0,,*,2024,Comprehensive MCO
Arizona,All,Dcs/Chp,Behavioral Health,83,550637,116,0.017141677,15.08433735,1:02,2020,Comprehensive MCO
Arizona,All,Dcs/Chp,Behavioral Health,1976,616820,1031,0.411580921,42.79301619,2:01,2021,Comprehensive MCO
Arizona,All,Dcs/Chp,Behavioral Health,3432,751901,1150,0.535580524,49.36625874,3:01,2022,Comprehensive MCO
Arizona,All,Dcs/Chp,Behavioral Health,5068,687873,1195,0.615272551,54.29577743,5:01,2023,Comprehensive MCO
Arizona,All,Dcs/Chp,Behavioral Health,7853,343212,1223,0.662644503,54.79651089,7:01,2024,Comprehensive MCO
Arizona,All,Dcs/Chp,Behavioral Health,4699,403604,647,0.531500961,11.97446265,8:01,2025,Comprehensive MCO
Arizona,All,Health Choice Arizona,Behavioral Health,15273,490060,1741,0.107145112,37.81051529,9:01,2020,Comprehensive MCO
Arizona,All,Health Choice Arizona,Behavioral Health,19244,258088,1880,0.108210235,35.73529412,11:01,2021,Comprehensive MCO
Arizona,All,Health Choice Arizona,Behavioral Health,22886,138924,1851,0.104429326,34.92729179,13:01,2022,Comprehensive MCO
Arizona,All,Health Choice Arizona,Behavioral Health,24042,164273,1965,0.108887349,36.97595874,13:01,2023,Comprehensive MCO
Arizona,All,Health Choice Arizona,Behavioral Health,29081,342402,2085,0.122288242,42.46253568,14:01,2024,Comprehensive MCO
Arizona,All,Health Choice Arizona,Behavioral Health,14621,201279,1245,0.070213604,12.10095069,12:01,2025,Comprehensive MCO
